station_index,station,longitude,latitude,history_distance,future_distance,spearman_distance_rho
113,Liyang,119.44899999999998,31.3585,past_72h,future_72h,0.21156898642703786
113,Liyang,119.44899999999998,31.3585,past_recent_24h,future_day1,0.47936055541768896
113,Liyang,119.44899999999998,31.3585,past_recent_24h,future_day3,0.06981646889863503
113,Liyang,119.44899999999998,31.3585,past_recent_24h,future_72h,0.28354970271195246
114,Linan,119.7183,30.2366,past_72h,future_day1,0.31332351995576324
114,Linan,119.7183,30.2366,past_72h,future_day3,0.07289699035151846
114,Linan,119.7183,30.2366,past_72h,future_72h,0.2115921854067497
114,Linan,119.7183,30.2366,past_recent_24h,future_day1,0.48983014198882274
114,Linan,119.7183,30.2366,past_recent_24h,future_day3,0.08435986450557834
114,Linan,119.7183,30.2366,past_recent_24h,future_72h,0.3093666205066593
115,Fuyang,117.2097,31.934033333333332,past_72h,future_day1,0.33869192337470777
115,Fuyang,117.2097,31.934033333333332,past_72h,future_day3,0.06996944914711188
115,Fuyang,117.2097,31.934033333333332,past_72h,future_72h,0.20619139273462286
115,Fuyang,117.2097,31.934033333333332,past_recent_24h,future_day1,0.5122590856094538
115,Fuyang,117.2097,31.934033333333332,past_recent_24h,future_day3,0.0980087004813921
115,Fuyang,117.2097,31.934033333333332,past_recent_24h,future_72h,0.31399347257495563
116,Yiwu,120.06550000000001,29.319499999999998,past_72h,future_day1,0.2992169344027095
116,Yiwu,120.06550000000001,29.319499999999998,past_72h,future_day3,0.06124965024794405
116,Yiwu,120.06550000000001,29.319499999999998,past_72h,future_72h,0.19112531390805024
116,Yiwu,120.06550000000001,29.319499999999998,past_recent_24h,future_day1,0.46662597597215616
116,Yiwu,120.06550000000001,29.319499999999998,past_recent_24h,future_day3,0.06720801254528201
116,Yiwu,120.06550000000001,29.319499999999998,past_recent_24h,future_72h,0.27799116204658597
117,Xinyang,114.061525,32.13015,past_72h,future_day1,0.30856548655447785
117,Xinyang,114.061525,32.13015,past_72h,future_day3,0.03826078384972542
117,Xinyang,114.061525,32.13015,past_72h,future_72h,0.17229799364767903
117,Xinyang,114.061525,32.13015,past_recent_24h,future_day1,0.5123548237367719
117,Xinyang,114.061525,32.13015,past_recent_24h,future_day3,0.06861440278630446
117,Xinyang,114.061525,32.13015,past_recent_24h,future_72h,0.3134479106316657
118,Zhoukou,114.65715,33.621500000000005,past_72h,future_day1,0.29351986725117885
118,Zhoukou,114.65715,33.621500000000005,past_72h,future_day3,0.026707804081248655
118,Zhoukou,114.65715,33.621500000000005,past_72h,future_72h,0.15731235899397747
118,Zhoukou,114.65715,33.621500000000005,past_recent_24h,future_day1,0.48177633282821325
118,Zhoukou,114.65715,33.621500000000005,past_recent_24h,future_day3,0.06894309762289563
118,Zhoukou,114.65715,33.621500000000005,past_recent_24h,future_72h,0.2860355762616923
119,Jincheng,112.84638333333332,35.50058333333333,past_72h,future_day1,0.27471765598682496
119,Jincheng,112.84638333333332,35.50058333333333,past_72h,future_day3,0.05234001861440298
119,Jincheng,112.84638333333332,35.50058333333333,past_72h,future_72h,0.1742538303766129
119,Jincheng,112.84638333333332,35.50058333333333,past_recent_24h,future_day1,0.4283359067417451
119,Jincheng,112.84638333333332,35.50058333333333,past_recent_24h,future_day3,0.05333886728621877
119,Jincheng,112.84638333333332,35.50058333333333,past_recent_24h,future_72h,0.2569904743984759
120,Shuozhou,112.43119999999999,39.34474,past_72h,future_day1,0.262266655978665
120,Shuozhou,112.43119999999999,39.34474,past_72h,future_day3,0.043515160370425666
120,Shuozhou,112.43119999999999,39.34474,past_72h,future_72h,0.16227618724419
120,Shuozhou,112.43119999999999,39.34474,past_recent_24h,future_day1,0.4344764724602356
120,Shuozhou,112.43119999999999,39.34474,past_recent_24h,future_day3,0.049911784241885485
120,Shuozhou,112.43119999999999,39.34474,past_recent_24h,future_72h,0.25260870576139294
121,Jinzhong,112.73200000000001,37.707233333333335,past_72h,future_day1,0.2867111237617799
121,Jinzhong,112.73200000000001,37.707233333333335,past_72h,future_day3,0.08751657003465121
