station_index,station,history_type,history_span,future_type,future_horizon,spearman_distance_rho
4,Qinhuangdao,joint,full72,pm,full72,0.01734298183574546
4,Qinhuangdao,joint,full72,weather,full72,0.10396486249121561
4,Qinhuangdao,joint,full72,joint,full72,0.10211675252918813
5,Handan,pm_only,recent24,pm,day1,0.36165542891385727
5,Handan,pm_only,recent24,weather,day1,0.06629669707417427
5,Handan,pm_only,recent24,joint,day1,0.15947774636943657
5,Handan,pm_only,recent24,pm,day3,0.02937219884304971
5,Handan,pm_only,recent24,weather,day3,-0.01977221744305436
5,Handan,pm_only,recent24,joint,day3,-0.019106215776553942
5,Handan,pm_only,recent24,pm,full72,0.22939075684768923
5,Handan,pm_only,recent24,weather,full72,0.010839481209870301
5,Handan,pm_only,recent24,joint,full72,0.06253388313347077
5,Handan,weather_only,recent24,pm,day1,0.14351100137775033
5,Handan,weather_only,recent24,weather,day1,0.3839328689832172
5,Handan,weather_only,recent24,joint,day1,0.38647765561941394
5,Handan,weather_only,recent24,pm,day3,-0.018713398678349667
5,Handan,weather_only,recent24,weather,day3,0.026268354567088644
5,Handan,weather_only,recent24,joint,day3,0.01738310084577521
5,Handan,weather_only,recent24,pm,full72,0.05117220529305132
5,Handan,weather_only,recent24,weather,full72,0.19059620064905014
5,Handan,weather_only,recent24,joint,full72,0.19075852618963154
5,Handan,joint,recent24,pm,day1,0.22097965474491368
5,Handan,joint,recent24,weather,day1,0.3664951261237815
5,Handan,joint,recent24,joint,day1,0.3981159485289871
5,Handan,joint,recent24,pm,day3,-0.012722803680700919
5,Handan,joint,recent24,weather,day3,0.021402741850685462
5,Handan,joint,recent24,joint,day3,0.012449926612481652
5,Handan,joint,recent24,pm,full72,0.10496894024223505
5,Handan,joint,recent24,weather,full72,0.1780393105098276
5,Handan,joint,recent24,joint,full72,0.19305536726384182
5,Handan,pm_only,full72,pm,day1,0.26407105651776414
5,Handan,pm_only,full72,weather,day1,0.02084945471236368
5,Handan,pm_only,full72,joint,day1,0.09159219489804872
5,Handan,pm_only,full72,pm,day3,0.04870880417720105
5,Handan,pm_only,full72,weather,day3,-0.05052787863196966
5,Handan,pm_only,full72,joint,day3,-0.0459814179953545
5,Handan,pm_only,full72,pm,full72,0.19043055710763926
5,Handan,pm_only,full72,weather,full72,-0.04172673893168473
5,Handan,pm_only,full72,joint,full72,0.0010314992578748143
5,Handan,weather_only,full72,pm,day1,0.08819506904876727
5,Handan,weather_only,full72,weather,day1,0.24988338847084707
5,Handan,weather_only,full72,joint,day1,0.2514486388621597
5,Handan,weather_only,full72,pm,day3,-0.03174380593595148
5,Handan,weather_only,full72,weather,day3,0.04184779196194799
5,Handan,weather_only,full72,joint,day3,0.028810118702529672
5,Handan,weather_only,full72,pm,full72,0.011922290980572745
5,Handan,weather_only,full72,weather,full72,0.14386600196650048
5,Handan,weather_only,full72,joint,full72,0.1395814008953502
5,Handan,joint,full72,pm,day1,0.13418925654731415
5,Handan,joint,full72,weather,day1,0.23366876841719214
5,Handan,joint,full72,joint,day1,0.2516794484198621
5,Handan,joint,full72,pm,day3,-0.020780321195080297
5,Handan,joint,full72,weather,day3,0.022866983716745927
5,Handan,joint,full72,joint,day3,0.011869322967330741
5,Handan,joint,full72,pm,full72,0.04894617323654331
5,Handan,joint,full72,weather,full72,0.117970143992536
5,Handan,joint,full72,joint,full72,0.12409641852410462
6,Baoding,pm_only,recent24,pm,day1,0.36927767631941905
6,Baoding,pm_only,recent24,weather,day1,0.06949319337329835
6,Baoding,pm_only,recent24,joint,day1,0.1506960331740083
