target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
64,Dongying,24,0.13081295439655116,-0.0005890043920280252,-6.10134730190115e-05
65,Heze,3,0.7531748994449368,0.026529478922201366,0.01724706151245503
65,Heze,6,0.5515172704254532,0.04270879145363682,0.026356298588515625
65,Heze,12,0.34316359879007974,0.02550115801583608,0.012838327729336907
65,Heze,24,0.20399362258029696,0.0031236176771365365,0.00013510432990926358
66,Datong,3,0.7284259407228701,0.03500267500877352,0.037640384819275674
66,Datong,6,0.5056136917851083,0.06320316233320555,0.06863311341227585
66,Datong,12,0.2797231844630844,0.04683630855326737,0.05011704575407072
66,Datong,24,0.09954280579671493,0.01012473367311939,0.010685816645653268
67,Zhangzhi,3,0.7401065708142236,-0.01600087327402333,0.007765098821232552
67,Zhangzhi,6,0.5216855107022442,-0.01990005152962082,0.015579092040572062
67,Zhangzhi,12,0.3331432867761066,-0.016841756352347748,0.010862331885592047
67,Zhangzhi,24,0.1898668693279364,-0.02555937616887838,0.001030731275297514
68,Linfen,3,0.7464232188844337,0.0048487280160847135,0.0033959391553106677
68,Linfen,6,0.5383013475296523,0.012189963564994799,0.006461295950980439
68,Linfen,12,0.3336482549094608,0.011871909801483671,0.0036216529455492807
68,Linfen,24,0.13754912036673228,0.0054069906947838975,0.00022782112083730155
69,Yangquan,3,0.7973319273923839,0.011215455150168974,0.01175693391354804
